,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,latitude,longitude,distance_btw_lax,accommodates,bedrooms,beds,bathrooms,amenity_num,review_scores_rating,price
22508,2455,1,11.0,11.0,10,34.0991,-118.36471999999999,17.97763272219141,1,1.0,1.0,1.0,434,-1.0,69.0
22509,3381,0,2.0,2.0,6,33.77183,-118.13963999999999,31.198208916166546,5,2.0,2.0,1.0,898,100.0,175.0
22510,1029,1,2.0,2.0,6,34.19701,-118.47923,29.147105738295707,8,3.0,6.0,2.5,575,97.0,595.0
22511,2222,1,46.0,46.0,8,33.98858,-118.46722,7.526665318396714,3,2.0,2.0,2.0,343,96.0,299.0
22512,2222,1,46.0,46.0,8,33.99033,-118.46586,7.574881179372031,2,-1.0,1.0,1.0,344,93.0,183.0
22513,757,0,3.0,3.0,1,33.95755,-118.38796,2.5960054719480175,10,4.0,7.0,2.0,459,87.0,194.0
22514,548,1,1.0,1.0,4,34.1965,-118.55127,31.255515138047233,2,1.0,2.0,1.0,468,100.0,86.0
22515,2372,1,1.0,1.0,3,33.79894,-118.19996,24.95446436380405,2,1.0,1.0,1.0,230,97.0,65.0
22516,1803,0,1.0,1.0,5,33.878609999999995,-118.40648999999999,7.008823609629732,2,-1.0,1.0,1.0,600,97.0,275.0
22517,591,0,14.0,14.0,7,33.7697,-118.19571,27.4212589259283,2,-1.0,1.0,1.0,452,95.0,94.0
22518,591,0,14.0,14.0,7,33.77049,-118.19795,27.211733569743515,2,-1.0,1.0,1.0,452,91.0,105.0
22519,591,0,14.0,14.0,7,33.769940000000005,-118.1965,27.35033741203305,2,-1.0,1.0,1.0,452,94.0,106.0
22520,591,0,14.0,14.0,7,33.771840000000005,-118.19573000000001,27.254307681410534,2,-1.0,1.0,1.0,452,94.0,105.0
22521,562,0,3.0,3.0,5,34.39289,-118.55776000000002,52.042515376665925,2,1.0,1.0,1.0,657,100.0,40.0
22522,1376,0,5.0,5.0,4,33.984770000000005,-117.89263999999999,47.831554269496664,1,1.0,1.0,1.0,136,70.0,29.0
22523,509,1,1.0,1.0,6,33.99377,-117.86226,50.72293391631637,2,1.0,1.0,1.5,434,98.0,64.0
22524,1831,0,1.0,1.0,5,34.093340000000005,-118.3532,17.63124269042349,2,1.0,1.0,1.0,286,-1.0,210.0
22525,1992,0,1.0,1.0,6,33.91516,-118.37371999999999,4.353436980371602,2,1.0,1.0,1.5,232,-1.0,75.0
