,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,neighborhood_matched,property_type,room_type,maximum_nights,minimum_nights,number_of_reviews,number_of_reviews_l30d,negiborhood_frequency
0,-1,-1.0,0.0,Culver City,True,1,1,730,30,2,0,307
1,3,0.7,0.36,Burbank,True,1,1,14,2,8,0,331
2,1,1.0,1.0,Hollywood,True,2,2,366,30,26,1,1616
3,2,0.93,0.57,Santa Monica,True,2,2,180,1,21,0,1184
4,-1,-1.0,-1.0,Bellflower,True,1,1,730,30,0,0,29
5,1,1.0,0.95,Del Rey,True,2,2,1125,30,310,0,239
6,1,1.0,0.95,Del Rey,True,2,2,1125,30,230,0,239
7,1,1.0,0.95,Del Rey,True,1,1,90,4,127,0,239
8,1,1.0,0.93,Woodland Hills,False,1,1,29,5,25,0,290
9,1,1.0,1.0,Hollywood,True,2,2,366,30,21,1,1616
10,1,1.0,1.0,Bellflower,True,2,2,730,1,12,0,29
11,2,1.0,0.99,Atwater Village,True,1,1,1125,3,240,0,89
12,-1,-1.0,0.84,Venice,True,1,1,22,3,401,0,1701
13,-1,-1.0,1.0,Long Beach,True,2,2,1125,2,393,0,1573
14,3,1.0,1.0,Venice,True,2,2,730,30,47,0,1701
15,1,1.0,0.98,Redondo Beach,True,2,2,1125,1,137,0,342
16,-1,-1.0,-1.0,Mid-Wilshire,True,2,2,1125,30,45,0,514
17,2,1.0,1.0,Hollywood Hills,True,1,1,365,30,7,0,787
18,2,1.0,0.47,Venice,True,1,1,150,30,45,0,1701
19,-1,-1.0,0.75,Mid-Wilshire,True,1,1,120,31,10,0,514
20,1,1.0,0.98,Redondo Beach,True,1,1,1125,2,172,1,342
21,1,1.0,1.0,Hollywood Hills,True,1,1,365,4,27,0,787
22,1,1.0,0.98,Redondo Beach,True,1,1,1125,2,158,1,342
23,-1,-1.0,1.0,Torrance,True,2,2,60,2,1,0,295
24,1,1.0,0.74,Mid-City,True,1,1,365,3,70,1,397
25,1,1.0,0.83,Valley Village,True,2,2,28,2,4,0,128
26,2,1.0,0.82,Venice,True,1,1,21,2,2,0,1701
27,2,1.0,0.82,Venice,True,1,1,21,2,48,0,1701
28,1,0.86,1.0,Silver Lake,True,2,2,365,2,253,1,498
29,1,1.0,0.91,Venice,True,1,1,15,3,480,1,1701
30,1,1.0,1.0,Hollywood Hills,True,1,1,60,5,29,0,787
31,3,0.63,0.24,Glendale,True,2,2,730,7,19,0,556
32,3,0.63,0.24,Glendale,True,1,1,730,7,15,0,556
33,1,1.0,1.0,Hollywood Hills,True,1,1,99,5,41,0,787
34,1,1.0,0.97,Silver Lake,True,1,1,30,3,166,0,498
35,-1,-1.0,1.0,Highland Park,True,1,1,1125,1,225,0,184
36,1,0.99,0.93,Venice,True,1,1,90,3,110,2,1701
37,1,1.0,1.0,Hollywood Hills,True,1,1,355,7,26,1,787
38,2,1.0,0.83,Venice,True,1,1,365,30,280,0,1701
39,1,1.0,1.0,Redondo Beach,True,1,1,365,4,342,1,342
40,1,1.0,0.86,Mount Washington,True,1,1,185,30,115,0,97
41,1,1.0,0.83,Sawtelle,False,1,1,9,3,2,1,476
42,2,1.0,0.7,Culver City,True,2,2,365,1,121,0,307
43,3,1.0,0.25,West Los Angeles,False,1,1,1125,1,18,0,157
44,3,0.54,0.62,East Hollywood,False,1,1,60,2,221,0,526
45,1,1.0,0.93,Woodland Hills,False,2,2,60,29,30,0,290
46,3,1.0,0.25,West Los Angeles,False,2,2,30,3,0,0,157
47,2,1.0,0.7,Culver City,True,2,2,365,1,75,0,307
48,2,1.0,0.5,Santa Monica,True,2,2,365,30,67,0,1184
49,-1,-1.0,-1.0,Los Feliz,True,2,2,60,30,186,0,333
50,2,1.0,0.33,Tarzana,True,1,1,365,56,20,0,125
51,1,0.97,0.96,Culver City,True,1,1,30,2,130,2,307
52,1,1.0,0.71,Mar Vista,True,2,2,1125,1,97,2,327
53,2,1.0,0.89,Malibu,True,1,1,200,2,332,0,398
54,4,0.43,-1.0,Santa Monica,True,1,1,1125,31,0,0,1184
55,1,0.93,0.99,Torrance,True,1,1,730,3,23,1,295
56,-1,-1.0,-1.0,Mid-Wilshire,True,2,2,365,31,30,0,514
57,3,0.71,0.13,Hollywood Hills West,False,2,2,730,3,5,0,521
58,2,1.0,0.44,Mid-City,False,2,2,365,30,13,0,397
59,2,1.0,0.44,Mid-City,False,2,2,180,30,12,0,397
60,-1,-1.0,-1.0,Downtown,False,2,2,365,2,83,0,1072
61,1,1.0,1.0,Hollywood,True,1,1,240,32,100,0,1616
62,1,1.0,0.97,Van Nuys,True,2,2,1125,2,71,0,201
63,3,0.5,1.0,Glassell Park,True,2,2,365,30,23,0,78
64,1,1.0,0.99,Silver Lake,True,1,1,180,30,148,0,498
65,1,1.0,0.85,Lynwood,True,2,2,25,1,170,1,17
66,1,0.86,1.0,Silver Lake,True,1,1,365,2,262,1,498
67,2,1.0,0.95,Culver City,True,1,1,30,2,137,0,307
68,2,1.0,0.96,Malibu,True,2,2,365,2,146,0,398
69,-1,-1.0,-1.0,Culver City,True,2,2,730,2,3,0,307
70,1,1.0,0.93,Granada Hills,False,2,2,28,3,182,0,43
71,2,1.0,0.9,Glendale,True,1,1,30,7,12,0,556
72,1,1.0,0.91,Hollywood,True,1,1,730,5,113,1,1616
73,1,1.0,0.58,Atwater Village,True,1,1,365,30,137,0,89
74,2,0.9,0.85,Mar Vista,True,1,1,365,2,304,1,327
75,1,1.0,0.3,Hollywood Hills,True,1,1,365,31,179,0,787
76,-1,-1.0,-1.0,Silver Lake,True,2,2,7,1,6,0,498
77,-1,-1.0,1.0,Beverly Hills,True,1,1,27,3,107,1,540
78,-1,-1.0,-1.0,Carthay,False,1,1,90,31,142,0,69
79,1,1.0,1.0,Venice,True,1,1,29,2,583,2,1701
80,-1,-1.0,0.65,Venice,True,1,1,1125,31,79,0,1701
81,-1,-1.0,0.86,Echo Park,True,2,2,7,2,124,0,410
82,3,1.0,0.0,Harvard Heights,False,2,2,365,30,0,0,100
83,3,1.0,0.0,Harvard Heights,False,2,2,90,7,6,0,100
84,3,0.71,0.13,Hollywood Hills West,False,2,2,730,3,8,0,521
85,2,1.0,0.62,Venice,True,1,1,152,30,23,0,1701
86,1,1.0,0.83,Glassell Park,True,1,1,182,30,7,0,78
87,2,0.92,0.54,Hollywood Hills,True,2,2,365,1,106,0,787
88,3,0.92,0.63,Hollywood Hills,True,1,1,84,28,17,0,787
89,2,1.0,1.0,Los Feliz,True,1,1,10,3,44,1,333
90,2,1.0,0.95,Culver City,True,1,1,365,1,534,6,307
91,2,1.0,0.93,Santa Monica,False,1,1,93,31,38,0,1184
92,2,1.0,0.73,West Hollywood,True,1,1,365,31,7,0,632
93,2,1.0,0.97,Mid-City,True,2,2,90,2,594,2,397
94,2,1.0,0.78,Elysian Park,False,1,1,60,6,185,0,17
95,-1,-1.0,0.83,Beverlywood,False,2,2,365,30,152,0,25
96,-1,-1.0,0.83,Beverlywood,False,2,2,365,30,136,0,25
97,-1,-1.0,-1.0,Cheviot Hills,False,2,2,210,30,7,0,35
98,1,1.0,1.0,Harvard Heights,False,2,2,15,4,28,1,100
99,1,1.0,0.82,Encino,True,1,1,365,2,117,1,136
100,-1,-1.0,0.67,Lakewood,False,2,2,28,1,38,0,51
101,-1,-1.0,-1.0,Mid-Wilshire,True,2,2,365,31,17,0,514
102,1,1.0,0.91,View Park-Windsor Hills,False,1,1,18,2,602,6,75
103,2,1.0,0.9,Silver Lake,True,1,1,150,31,285,1,498
104,1,1.0,0.89,Hollywood Hills,True,1,1,730,3,480,0,787
105,1,1.0,0.68,Mid-Wilshire,True,1,1,60,3,181,0,514
106,1,1.0,1.0,Hollywood Hills,True,1,1,730,31,110,0,787
107,2,1.0,0.93,Santa Monica,False,1,1,730,31,26,0,1184
108,1,1.0,0.85,Lynwood,True,2,2,25,1,218,1,17
109,4,0.0,0.25,North Hills,False,2,2,45,30,70,0,45
110,1,1.0,0.93,Woodland Hills,False,1,1,120,4,126,1,290
111,3,1.0,0.0,Mid-Wilshire,True,2,2,190,30,21,0,514
112,2,1.0,0.79,Tujunga,False,1,1,1125,30,25,0,22
113,2,1.0,0.9,Silver Lake,True,1,1,155,30,262,1,498
114,2,1.0,0.82,Westchester,False,1,1,65,4,430,0,227
115,-1,-1.0,-1.0,Mid-City,True,1,1,365,180,1,0,397
116,2,1.0,0.82,Westchester,False,1,1,14,7,3,0,227
117,3,1.0,0.0,Echo Park,True,1,1,120,30,19,0,410
118,2,1.0,0.94,Fairfax,False,1,1,365,30,102,0,261
119,2,1.0,0.0,Woodland Hills,False,2,2,120,2,26,0,290
120,-1,-1.0,-1.0,Santa Monica,True,1,1,365,330,18,0,1184
121,-1,-1.0,1.0,Hollywood Hills,True,2,2,300,30,14,0,787
122,-1,-1.0,-1.0,Westlake,True,2,2,730,3,0,0,507
123,1,1.0,0.97,Echo Park,True,1,1,365,2,216,2,410
124,1,1.0,0.99,Mount Washington,True,1,1,60,3,259,2,97
125,1,1.0,1.0,Carson,True,1,1,60,5,361,0,79
126,1,1.0,0.75,Silver Lake,False,1,1,365,30,190,0,498
127,3,0.8,0.91,Long Beach,True,1,1,9,1,741,9,1573
128,3,1.0,0.6,North Hollywood,True,2,2,730,30,17,0,393
129,3,1.0,0.0,Mid-City,False,2,2,365,30,12,0,397
130,1,1.0,0.25,West Hollywood,True,1,1,180,30,26,0,632
131,2,1.0,0.86,Altadena,True,1,1,365,3,18,1,228
132,2,1.0,0.83,Beverly Hills,True,1,1,1125,3,44,2,540
133,3,0.6,1.0,Echo Park,True,1,1,1000,28,9,0,410
134,2,1.0,0.82,Calabasas,False,2,2,730,1,303,1,55
135,1,1.0,1.0,Pacific Palisades,True,1,1,30,7,227,0,162
136,1,1.0,0.91,Echo Park,True,1,1,365,30,78,0,410
137,1,1.0,0.97,Hollywood Hills West,False,1,1,360,1,235,6,521
138,1,0.99,1.0,Topanga,True,1,1,14,1,312,3,257
139,-1,-1.0,-1.0,Downtown,False,2,2,365,30,80,0,1072
140,3,0.6,1.0,Echo Park,True,1,1,1124,28,20,0,410
141,3,1.0,0.29,Sawtelle,False,1,1,91,31,520,0,476
142,3,1.0,0.67,Atwater Village,True,1,1,365,14,91,0,89
143,3,1.0,0.83,Los Feliz,True,2,2,365,30,82,0,333
144,1,1.0,1.0,Valley Glen,True,1,1,90,30,62,0,175
145,1,1.0,1.0,Valley Glen,True,1,1,1125,2,208,5,175
146,2,1.0,0.94,Fairfax,False,1,1,365,30,92,0,261
147,2,1.0,0.67,Manhattan Beach,True,1,1,365,90,1,0,188
148,4,0.0,0.63,Venice,True,1,1,90,30,61,0,1701
149,2,1.0,0.93,Studio City,True,2,2,120,30,85,0,349
150,2,0.83,0.85,Topanga,True,1,1,30,3,100,1,257
151,1,0.99,1.0,Topanga,True,1,1,14,1,340,8,257
152,1,0.99,1.0,Topanga,True,1,1,14,1,160,6,257
153,-1,-1.0,-1.0,Downtown,False,2,2,365,1,50,0,1072
154,2,1.0,0.82,Mid-Wilshire,True,1,1,730,30,19,0,514
155,2,0.92,0.54,Hollywood Hills,True,2,2,365,1,16,0,787
156,1,1.0,0.98,Hollywood,True,2,2,180,3,345,0,1616
157,4,0.0,-1.0,Malibu,True,2,2,3,2,1,0,398
158,3,0.6,1.0,Echo Park,True,1,1,1124,5,21,0,410
159,2,1.0,0.94,Fairfax,False,1,1,1125,30,101,0,261
160,-1,-1.0,-1.0,Los Feliz,False,2,2,28,2,0,0,333
161,1,1.0,0.96,Long Beach,True,1,1,30,4,4,0,1573
162,-1,-1.0,-1.0,Hollywood Hills,True,1,1,30,30,19,0,787
163,2,1.0,1.0,Unincorporated Santa Monica Mountains,False,1,1,28,2,33,3,125
164,-1,-1.0,-1.0,Santa Monica,True,1,1,360,89,16,0,1184
165,1,1.0,0.43,Elysian Valley,False,1,1,365,30,32,0,23
166,-1,-1.0,-1.0,Venice,True,1,1,10,3,2,0,1701
167,-1,-1.0,-1.0,Venice,False,1,1,30,3,30,0,1701
168,2,1.0,0.7,Westchester,False,2,2,730,30,11,0,227
169,2,1.0,0.7,Westchester,False,2,2,730,30,9,1,227
170,2,1.0,0.96,Malibu,True,2,2,365,2,161,0,398
171,3,1.0,0.5,Echo Park,True,2,2,300,2,39,0,410
172,1,1.0,1.0,Atwater Village,True,1,1,730,31,81,0,89
173,-1,-1.0,1.0,Palms,True,1,1,186,30,23,0,249
174,-1,-1.0,0.57,Mar Vista,True,2,2,21,2,31,0,327
175,1,1.0,0.91,Echo Park,True,1,1,365,30,58,0,410
176,1,1.0,0.91,Silver Lake,True,1,1,120,30,130,1,498
177,3,1.0,0.5,Fairfax,False,1,1,180,31,20,0,261
178,1,1.0,0.0,Sawtelle,False,1,1,120,30,3,0,476
179,2,1.0,0.94,Fairfax,False,1,1,365,30,80,0,261
180,1,1.0,0.25,Hollywood Hills,True,1,1,45,31,91,0,787
181,2,1.0,-1.0,Pico-Robertson,False,1,1,210,31,14,0,165
182,2,1.0,0.74,Santa Monica,True,2,2,14,2,306,1,1184
183,1,1.0,0.91,Hollywood Hills,False,2,2,60,2,66,0,787
184,1,1.0,0.96,Sun Valley,True,1,1,120,1,154,3,77
185,1,1.0,0.99,Silver Lake,True,1,1,362,30,89,0,498
186,1,1.0,0.99,Silver Lake,True,1,1,180,30,64,0,498
187,1,1.0,0.96,Lakewood,True,2,2,7,2,142,0,51
188,1,1.0,1.0,Hollywood,True,1,1,90,33,3,0,1616
189,2,1.0,1.0,North Hollywood,True,1,1,365,5,216,0,393
190,2,0.9,0.98,Venice,False,1,1,180,30,230,1,1701
191,2,1.0,0.94,Fairfax,False,1,1,185,30,73,1,261
192,1,1.0,1.0,Pacific Palisades,True,1,1,365,2,36,0,162
193,2,1.0,0.94,Malibu,False,1,1,365,30,222,0,398
194,-1,-1.0,-1.0,Koreatown,False,2,2,760,30,30,0,518
195,1,1.0,0.93,Venice,True,1,1,1125,3,47,3,1701
196,1,1.0,1.0,San Pedro,True,2,2,365,31,120,0,109
197,1,1.0,0.98,Altadena,True,1,1,365,7,206,0,228
198,-1,-1.0,-1.0,Venice,True,2,2,365,30,1,0,1701
199,1,1.0,0.94,Century City,False,2,2,100,84,124,0,26
200,-1,-1.0,-1.0,Highland Park,True,1,1,14,3,0,0,184
201,1,1.0,0.78,West Los Angeles,False,1,1,360,30,40,0,157
202,-1,-1.0,0.9,Los Feliz,False,1,1,180,30,12,0,333
203,3,0.5,0.0,Long Beach,True,2,2,365,5,8,0,1573
204,1,1.0,0.71,Mar Vista,True,2,2,365,1,40,0,327
205,-1,-1.0,-1.0,Glendale,True,1,1,760,1,0,0,556
206,3,1.0,1.0,Venice,True,1,1,90,31,168,0,1701
207,3,1.0,1.0,Venice,True,1,1,1125,30,101,0,1701
208,1,1.0,0.98,Silver Lake,True,1,1,365,2,71,0,498
209,1,1.0,0.89,Topanga,True,1,1,60,7,209,0,257
210,-1,-1.0,-1.0,Studio City,True,2,2,760,1,0,0,349
211,1,1.0,0.97,Long Beach,True,1,1,320,6,11,0,1573
212,2,1.0,1.0,Del Rey,True,1,1,365,31,70,0,239
213,-1,-1.0,-1.0,Unincorporated Santa Monica Mountains,False,2,2,21,3,81,0,125
214,3,0.88,1.0,Echo Park,True,1,1,365,33,15,0,410
215,3,0.72,0.46,Arcadia,False,1,1,21,2,10,0,185
216,2,1.0,0.94,Los Feliz,True,2,2,90,2,159,0,333
217,1,1.0,0.97,Long Beach,True,1,1,365,5,21,0,1573
218,1,1.0,0.98,Venice,True,1,1,93,2,430,0,1701
219,2,1.0,0.93,Studio City,True,1,1,1125,2,118,0,349
220,2,0.94,1.0,Beverly Crest,False,1,1,365,3,150,3,143
221,1,1.0,0.98,Hollywood,True,1,1,360,30,21,0,1616
222,1,1.0,0.98,Hollywood,True,1,1,360,30,26,0,1616
223,1,1.0,0.98,Silver Lake,True,2,2,365,1,60,0,498
224,2,1.0,0.75,Echo Park,True,1,1,365,31,15,0,410
225,-1,-1.0,-1.0,Westlake,False,1,1,760,1,0,0,507
226,3,0.8,1.0,West Hollywood,True,1,1,365,30,37,1,632
227,1,1.0,1.0,Hollywood Hills,True,1,1,90,9,51,0,787
228,1,1.0,1.0,Beverly Grove,False,1,1,90,1,55,1,422
229,-1,-1.0,0.0,Highland Park,True,1,1,365,30,57,0,184
230,2,1.0,0.75,Echo Park,True,1,1,365,31,17,0,410
231,2,1.0,0.55,Pasadena,True,1,1,30,3,3,0,459
232,2,1.0,0.94,Agua Dulce,False,2,2,180,1,124,0,13
233,-1,-1.0,-1.0,Hollywood Hills,True,2,2,60,30,4,0,787
234,2,1.0,1.0,Venice,True,1,1,28,3,252,1,1701
235,1,1.0,0.67,Pacific Palisades,True,1,1,90,31,28,0,162
236,2,0.9,0.65,Hermosa Beach,True,1,1,365,30,159,0,195
237,2,1.0,0.0,Long Beach,True,1,1,21,4,110,1,1573
238,1,1.0,0.94,Venice,True,1,1,60,4,166,0,1701
239,-1,-1.0,-1.0,Long Beach,True,1,1,7,2,5,0,1573
240,2,1.0,1.0,Baldwin Hills/Crenshaw,False,1,1,365,7,23,0,74
241,-1,-1.0,-1.0,Venice,False,1,1,60,30,52,0,1701
242,-1,-1.0,-1.0,Venice,True,1,1,1125,30,23,0,1701
243,-1,-1.0,-1.0,Mar Vista,True,2,2,210,30,0,0,327
244,-1,-1.0,0.96,Venice,True,1,1,29,2,124,0,1701
245,-1,-1.0,-1.0,Venice,True,1,1,28,3,98,0,1701
246,1,1.0,0.96,Hollywood,True,1,1,30,1,561,0,1616
247,-1,-1.0,-1.0,West Compton,False,3,3,365,360,0,0,6
248,-1,-1.0,1.0,Burbank,True,2,2,90,2,51,0,331
249,2,1.0,0.75,Echo Park,True,1,1,365,31,20,0,410
250,2,0.94,0.9,Atwater Village,True,1,1,28,1,425,3,89
251,3,1.0,0.94,Malibu,True,1,1,3022,2,67,1,398
252,1,1.0,0.93,Arlington Heights,False,3,3,1125,30,76,0,128
253,1,1.0,0.93,Arlington Heights,False,3,3,1125,30,35,0,128
254,2,1.0,0.78,Van Nuys,False,2,2,30,2,151,0,201
255,1,1.0,0.93,Harvard Heights,False,3,3,1125,30,19,0,100
256,1,1.0,0.99,Long Beach,True,1,1,120,3,61,0,1573
257,3,1.0,0.1,Hollywood,True,1,1,365,30,7,0,1616
258,3,1.0,0.1,Hollywood,True,1,1,365,30,22,0,1616
259,1,1.0,0.25,Fairfax,False,1,1,90,30,110,0,261
260,-1,-1.0,-1.0,Torrance,True,2,2,120,30,2,0,295
261,1,1.0,0.94,Venice,True,1,1,1125,30,58,0,1701
262,1,1.0,1.0,Mar Vista,True,1,1,120,1,285,1,327
263,3,1.0,-1.0,Palms,True,2,2,1125,2,4,0,249
264,1,1.0,0.97,Echo Park,True,1,1,1125,31,22,0,410
265,1,1.0,0.93,Harvard Heights,False,2,2,1125,30,31,0,100
266,1,1.0,0.93,Harvard Heights,False,3,3,1125,30,150,2,100
267,1,1.0,0.93,Harvard Heights,False,3,3,1125,30,10,0,100
268,1,1.0,0.93,Arlington Heights,False,2,2,1125,30,20,1,128
269,1,1.0,0.93,Arlington Heights,False,3,3,1125,30,48,0,128
270,1,1.0,0.93,Arlington Heights,False,3,3,1125,30,45,0,128
271,1,1.0,0.79,Venice,True,2,2,30,2,133,2,1701
272,2,1.0,1.0,Mid-City,True,1,1,45,3,399,0,397
273,1,1.0,0.91,Silver Lake,True,1,1,1125,3,113,1,498
274,1,1.0,0.93,Arlington Heights,False,3,3,1125,30,14,0,128
275,1,1.0,0.93,Harvard Heights,False,3,3,1125,31,20,0,100
276,2,0.75,0.33,Silver Lake,True,2,2,1125,5,5,0,498
277,3,0.5,0.8,Leimert Park,False,1,1,1125,3,21,0,54
278,1,1.0,0.97,Broadway-Manchester,False,1,1,28,3,140,0,8
279,-1,-1.0,0.0,Sawtelle,False,2,2,60,30,95,0,476
280,3,1.0,-1.0,Hermosa Beach,True,1,1,90,30,9,0,195
281,-1,-1.0,1.0,View Park-Windsor Hills,False,1,1,180,30,151,0,75
282,-1,-1.0,-1.0,East Hollywood,True,1,1,30,30,13,0,526
283,3,1.0,1.0,Unincorporated Santa Monica Mountains,False,4,1,1125,1,7,0,125
284,3,0.5,1.0,Carthay,False,2,2,90,30,17,0,69
285,-1,-1.0,0.6,Hollywood,True,2,2,1125,30,183,0,1616
286,-1,-1.0,-1.0,North Hollywood,True,2,2,1125,1,0,0,393
287,1,1.0,0.0,Beverly Grove,False,1,1,1125,2,5,0,422
288,-1,-1.0,0.89,Culver City,True,1,1,1125,3,33,0,307
289,3,1.0,-1.0,Santa Monica,True,1,1,1125,30,1,0,1184
290,3,1.0,0.67,Atwater Village,True,1,1,365,14,7,0,89
291,2,0.99,0.85,Hollywood Hills,True,1,1,365,1,436,0,787
292,1,1.0,0.25,Fairfax,False,5,1,60,30,42,0,261
293,2,1.0,0.94,Fairfax,False,1,1,365,30,42,0,261
294,-1,-1.0,0.56,Hollywood,False,2,2,5,2,104,0,1616
295,1,0.93,0.97,Mid-City,True,1,1,1000,4,31,1,397
296,2,0.97,0.99,Santa Monica,True,1,1,1125,31,52,1,1184
297,-1,-1.0,-1.0,Silver Lake,True,1,1,120,30,44,0,498
298,1,1.0,0.63,Hancock Park,False,1,1,180,1,67,0,99
299,1,1.0,0.83,Carthay,False,2,2,365,60,60,0,69
300,1,1.0,0.96,El Segundo,True,1,1,180,2,306,6,153
301,-1,-1.0,-1.0,Hancock Park,False,2,2,90,2,7,0,99
302,1,1.0,0.91,Long Beach,True,2,2,30,2,122,0,1573
303,1,1.0,0.44,Santa Monica,True,1,1,360,31,55,0,1184
304,1,1.0,0.91,Echo Park,True,1,1,365,30,84,0,410
305,1,1.0,0.82,West Hollywood,True,1,1,90,7,22,0,632
306,1,1.0,1.0,Pasadena,True,2,2,365,2,50,0,459
307,2,0.9,0.92,Carson,True,2,2,90,3,99,0,79
308,1,1.0,0.97,Echo Park,True,1,1,1125,30,52,0,410
309,3,1.0,0.0,Mid-Wilshire,True,2,2,155,30,7,0,514
310,1,1.0,0.95,Malibu,True,1,1,5,2,64,2,398
311,-1,-1.0,0.0,Echo Park,True,1,1,180,30,47,0,410
312,1,1.0,1.0,West Hollywood,True,2,2,14,1,439,2,632
313,-1,-1.0,-1.0,Hollywood,True,1,1,90,30,4,0,1616
314,-1,-1.0,0.5,Inglewood,True,2,2,7,1,68,0,402
315,-1,-1.0,0.0,Sherman Oaks,True,2,2,28,2,56,0,375
316,-1,-1.0,-1.0,Venice,True,1,1,1125,30,8,0,1701
317,1,1.0,0.5,Echo Park,True,1,1,100,31,14,0,410
318,-1,-1.0,0.4,Koreatown,False,2,2,90,32,27,0,518
319,1,1.0,0.33,Silver Lake,True,1,1,180,6,28,0,498
320,2,1.0,0.94,Fairfax,False,1,1,1125,31,49,1,261
321,-1,-1.0,-1.0,Los Feliz,False,1,1,365,30,7,0,333
322,1,1.0,1.0,Hermosa Beach,True,2,2,29,3,228,0,195
323,-1,-1.0,-1.0,Mid-Wilshire,True,1,1,120,30,2,0,514
324,1,1.0,0.93,Fairfax,False,1,1,29,3,166,2,261
325,1,1.0,1.0,Topanga,True,1,1,90,2,89,3,257
326,3,0.75,0.75,Topanga,True,1,1,120,1,281,0,257
327,1,1.0,0.94,Downtown,False,2,2,30,1,272,1,1072
328,1,1.0,0.84,Hollywood,True,1,1,180,5,70,2,1616
329,1,1.0,0.44,Santa Monica,True,1,1,60,3,47,0,1184
330,1,1.0,0.96,Beverly Hills,True,1,1,90,14,81,3,540
331,3,0.9,0.97,Glassell Park,False,1,1,1125,2,291,0,78
332,1,1.0,0.93,Harvard Heights,False,3,3,1125,30,38,0,100
333,1,1.0,0.97,Del Rey,True,1,1,365,1,487,5,239
334,1,1.0,0.25,Fairfax,False,1,1,60,30,8,0,261
335,1,1.0,0.78,Studio City,True,2,2,60,2,6,0,349
336,1,1.0,0.9,Woodland Hills,False,1,1,300,3,115,0,290
337,-1,-1.0,-1.0,Echo Park,True,1,1,16,6,7,0,410
338,1,1.0,0.93,Arlington Heights,False,3,3,1125,30,27,0,128
339,1,1.0,0.93,Arlington Heights,False,3,3,1125,30,30,0,128
340,-1,-1.0,0.0,Mid-Wilshire,True,2,2,30,30,31,0,514
341,3,1.0,-1.0,Mid-Wilshire,True,1,1,1125,90,0,0,514
342,1,1.0,0.98,Hollywood Hills West,False,1,1,60,3,144,4,521
343,-1,-1.0,-1.0,Covina,True,2,2,1125,1,20,0,48
344,-1,-1.0,-1.0,Silver Lake,True,2,2,365,30,4,0,498
345,3,1.0,0.87,Echo Park,True,1,1,90,2,471,0,410
346,4,0.13,0.44,Rowland Heights,False,2,2,1125,2,13,0,517
347,-1,-1.0,-1.0,Sherman Oaks,True,2,2,270,180,0,0,375
348,1,1.0,0.33,Silver Lake,True,1,1,365,7,10,0,498
349,1,1.0,1.0,Venice,True,1,1,90,1,428,7,1701
350,3,1.0,0.14,Santa Monica,True,2,2,30,3,3,0,1184
351,1,1.0,0.4,Malibu,True,1,1,1125,3,4,0,398
352,2,1.0,0.0,Venice,True,1,1,365,61,65,0,1701
353,2,0.75,0.33,Silver Lake,True,2,2,1125,5,7,0,498
354,1,1.0,1.0,Venice,True,1,1,90,1,462,4,1701
355,3,0.8,0.43,Venice,True,1,1,180,30,26,0,1701
356,-1,-1.0,-1.0,Silver Lake,True,1,1,30,30,3,0,498
357,1,1.0,0.98,Hollywood,True,1,1,360,30,16,0,1616
358,1,1.0,1.0,Long Beach,True,1,1,365,4,60,0,1573
359,3,1.0,0.0,Long Beach,True,2,2,1125,1,21,0,1573
360,1,1.0,0.86,Beverly Grove,False,2,2,1125,2,39,0,422
361,1,0.99,1.0,Topanga,True,1,1,14,1,114,8,257
362,-1,-1.0,0.0,Culver City,True,2,2,1125,1,0,0,307
363,1,0.99,1.0,Topanga,True,1,1,14,1,520,6,257
364,3,1.0,0.5,South Pasadena,True,2,2,336,2,55,0,84
365,3,1.0,0.68,Topanga,True,1,1,180,10,115,0,257
366,2,1.0,0.93,Ladera Heights,False,2,2,90,30,24,0,47
367,1,1.0,1.0,Beverly Hills,False,1,1,7,7,66,0,540
368,2,1.0,0.0,Long Beach,True,2,2,1125,2,15,0,1573
369,2,0.6,0.11,Hollywood,True,2,2,90,30,24,0,1616
370,1,1.0,0.98,Hollywood,True,1,1,325,30,36,2,1616
371,2,1.0,0.97,Venice,True,1,1,1125,3,111,0,1701
372,-1,-1.0,0.18,Downtown,True,1,1,1125,3,57,0,1072
373,2,1.0,1.0,Hollywood Hills,True,2,2,90,5,30,0,787
374,2,1.0,0.67,Toluca Lake,True,2,2,1124,30,22,0,66
375,-1,-1.0,1.0,La Canada Flintridge,True,2,2,14,2,243,0,41
376,2,1.0,0.59,Highland Park,True,2,2,60,2,175,0,184
377,1,1.0,0.99,Manhattan Beach,False,1,1,180,30,9,0,188
378,1,1.0,0.99,Sherman Oaks,True,1,1,365,3,215,5,375
379,-1,-1.0,0.95,Del Rey,True,2,2,365,3,336,0,239
380,1,1.0,1.0,Mar Vista,False,2,2,40,3,99,0,327
381,2,0.9,0.97,Echo Park,True,1,1,180,30,50,0,410
382,2,1.0,0.0,Long Beach,True,2,2,1125,2,8,0,1573
383,-1,-1.0,-1.0,Venice,True,1,1,120,30,45,0,1701
384,1,1.0,1.0,Venice,True,1,1,1125,31,483,0,1701
385,-1,-1.0,0.92,Sawtelle,False,2,2,29,29,58,0,476
386,2,1.0,0.87,Venice,False,1,1,1125,30,338,0,1701
387,2,1.0,0.9,Glendale,True,2,2,28,7,20,0,556
388,2,1.0,1.0,Venice,True,1,1,1125,30,265,0,1701
389,1,0.89,0.92,Brentwood,True,1,1,1125,5,44,0,198
