,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,neighborhood_matched,property_type,room_type,maximum_nights,minimum_nights,number_of_reviews,number_of_reviews_l30d,negiborhood_frequency
16231,-1,-1.0,-1.0,Diamond Bar,False,2,2,30,1,4,0,152
16232,-1,-1.0,-1.0,Diamond Bar,False,2,2,30,1,3,0,152
16233,2,1.0,0.97,El Segundo,True,1,1,1125,2,49,2,153
16234,-1,-1.0,1.0,Beverly Grove,False,1,1,1125,31,16,0,422
16235,-1,-1.0,-1.0,Venice,True,2,2,7,1,2,0,1701
16236,4,0.4,0.92,Downtown,False,1,1,1125,1,40,0,1072
16237,1,1.0,0.75,Monterey Park,True,2,2,5,1,0,0,235
16238,1,1.0,0.75,Monterey Park,True,2,2,5,1,1,0,235
16239,1,1.0,0.55,Pasadena,False,1,1,1124,30,2,0,459
16240,1,1.0,1.0,North Hollywood,False,1,1,1125,30,47,0,393
16241,-1,-1.0,1.0,Venice,True,1,1,1125,30,21,0,1701
16242,-1,-1.0,-1.0,Burbank,True,2,2,1125,10,0,0,331
16243,-1,-1.0,-1.0,Koreatown,False,1,1,1125,30,2,0,518
16244,1,1.0,0.94,Vermont Square,False,1,1,120,30,45,0,74
16245,4,0.0,1.0,Sherman Oaks,False,2,2,1125,1,32,0,375
16246,-1,-1.0,-1.0,Downtown,True,1,1,30,30,3,0,1072
16247,-1,-1.0,-1.0,Hollywood Hills West,False,1,1,40,30,3,0,521
16248,-1,-1.0,-1.0,Silver Lake,True,1,1,21,3,6,0,498
16249,2,1.0,0.9,Baldwin Park,True,1,1,28,3,48,0,30
16250,1,1.0,1.0,Beverly Crest,False,2,2,14,1,20,0,143
16251,-1,-1.0,-1.0,Malibu,True,1,1,1125,1,0,0,398
16252,1,1.0,1.0,Brentwood,True,1,1,1125,3,35,0,198
16253,-1,-1.0,-1.0,Westlake,False,1,1,1125,30,4,0,507
16254,-1,-1.0,1.0,Inglewood,False,1,1,14,1,111,3,402
16255,-1,-1.0,-1.0,Maywood,True,2,2,1125,1,1,0,10
16256,-1,-1.0,-1.0,Hollywood,False,1,1,1125,30,2,0,1616
16257,1,1.0,0.99,Unincorporated Santa Monica Mountains,False,2,2,15,2,89,3,125
16258,1,1.0,0.99,Alhambra,False,1,1,30,3,75,0,258
16259,-1,-1.0,-1.0,North Hollywood,False,2,2,1125,3,0,0,393
16260,1,0.89,0.99,Inglewood,True,1,1,30,1,201,0,402
16261,-1,-1.0,-1.0,Pico-Robertson,False,1,1,30,30,6,0,165
16262,-1,-1.0,0.5,Hollywood,True,2,2,94,1,1,0,1616
16263,1,1.0,0.91,Silver Lake,True,1,1,1125,2,34,1,498
16264,1,1.0,0.99,Malibu,False,1,1,29,3,4,1,398
16265,1,1.0,0.93,West Los Angeles,True,1,1,28,2,65,3,157
16266,3,0.6,0.4,Mar Vista,True,1,1,1125,3,2,0,327
16267,4,0.0,-1.0,Downtown,False,3,3,90,30,0,0,1072
16268,-1,-1.0,1.0,Burbank,True,2,2,365,2,89,0,331
16269,2,1.0,1.0,Hollywood Hills West,False,1,1,1000,6,13,1,521
16270,1,0.96,1.0,Topanga,True,10,1,1125,1,199,15,257
16271,3,1.0,0.91,Fairfax,False,1,1,1125,30,20,0,261
16272,2,1.0,0.93,Playa del Rey,False,1,1,1125,3,45,0,108
16273,-1,-1.0,0.94,Hollywood Hills,True,2,2,60,2,53,0,787
16274,1,1.0,1.0,Leimert Park,False,1,1,30,3,21,1,54
16275,1,1.0,0.9,Studio City,True,1,1,1125,1,25,0,349
16276,1,1.0,0.97,Beverly Grove,False,1,1,180,3,32,0,422
16277,1,1.0,1.0,Mid-City,False,1,1,360,2,4,2,397
16278,1,1.0,0.0,Temple City,False,2,2,30,1,6,0,142
16279,-1,-1.0,1.0,Canoga Park,False,2,2,28,1,114,0,61
16280,-1,-1.0,0.6,Hollywood Hills,True,1,1,1125,30,3,0,787
16281,-1,-1.0,-1.0,Inglewood,True,2,2,30,7,5,0,402
16282,-1,-1.0,1.0,East Pasadena,False,1,1,1125,1,106,0,43
16283,-1,-1.0,1.0,Hollywood,True,1,1,21,1,74,0,1616
16284,-1,-1.0,-1.0,Redondo Beach,False,2,2,14,1,48,0,342
16285,1,1.0,0.92,Hollywood,True,1,1,1125,31,55,0,1616
16286,-1,-1.0,-1.0,Redondo Beach,False,2,2,14,2,53,0,342
16287,-1,-1.0,0.92,Westmont,True,2,2,25,1,29,0,31
16288,1,1.0,0.88,Encino,True,1,1,30,2,0,0,136
16289,-1,-1.0,0.92,Westmont,True,2,2,25,1,29,0,31
16290,1,0.8,0.75,Rowland Heights,False,1,1,1125,3,3,0,517
16291,1,1.0,1.0,Pico-Robertson,False,1,1,1125,2,70,1,165
